SNO,Date,Time,SPEC,Voltage_V
54,26-09-2025,14:49:14:928315,2.146,2.60
55,26-09-2025,14:49:15:959302,1.177,2.59
56,26-09-2025,14:49:16:992498,1.623,2.58
57,26-09-2025,14:49:18:023931,1.677,2.58
58,26-09-2025,14:49:19:086302,1.932,2.58
59,26-09-2025,14:49:20:121300,1.031,2.59
60,26-09-2025,14:49:21:162299,1.048,2.59
61,26-09-2025,14:49:22:194296,1.930,2.58
62,26-09-2025,14:49:23:225278,1.371,2.58
63,26-09-2025,14:49:24:258302,1.442,2.57
64,26-09-2025,14:49:25:290303,1.912,2.59
65,26-09-2025,14:49:26:322316,1.084,2.58
66,26-09-2025,14:49:27:371302,1.858,2.59
67,26-09-2025,14:49:28:403391,1.133,2.59
68,26-09-2025,14:49:29:438303,2.137,2.59
69,26-09-2025,14:49:30:469302,1.221,2.59
70,26-09-2025,14:49:31:502280,1.565,2.58
71,26-09-2025,14:49:32:533278,1.696,2.59
72,26-09-2025,14:49:33:564303,1.424,2.59
73,26-09-2025,14:49:34:598300,2.162,2.59
74,26-09-2025,14:49:35:629304,0.941,2.59
75,26-09-2025,14:49:36:660394,2.241,2.64
76,26-09-2025,14:49:37:691301,0.955,2.58
77,26-09-2025,14:49:38:724277,1.869,2.59
78,26-09-2025,14:49:39:755745,1.525,2.60
79,26-09-2025,14:49:40:787235,1.505,2.58
80,26-09-2025,14:49:41:818302,1.763,2.59
81,26-09-2025,14:49:42:870299,1.190,2.59
82,26-09-2025,14:49:43:902306,2.126,2.59
83,26-09-2025,14:49:44:933393,0.958,2.59
84,26-09-2025,14:49:45:970801,1.440,2.60
85,26-09-2025,14:49:47:003298,2.020,2.59
86,26-09-2025,14:49:48:034281,1.063,2.59
87,26-09-2025,14:49:49:065304,2.107,2.60
88,26-09-2025,14:49:50:100304,1.326,2.59
89,26-09-2025,14:49:51:134528,1.324,2.60
90,26-09-2025,14:49:52:165306,1.878,2.59
91,26-09-2025,14:49:53:198279,0.994,2.59
92,26-09-2025,14:49:54:229306,2.165,2.59
93,26-09-2025,14:49:55:263302,1.234,2.60
94,26-09-2025,14:49:56:297304,1.418,2.59
95,26-09-2025,14:49:57:328281,1.803,2.58
96,26-09-2025,14:49:58:359306,1.329,2.59
97,26-09-2025,14:49:59:391303,1.989,2.58
98,26-09-2025,14:50:00:428303,1.475,2.58
99,26-09-2025,14:50:01:459279,1.706,2.58
100,26-09-2025,14:50:02:490281,1.553,2.60
101,26-09-2025,14:50:03:521472,1.608,2.59
102,26-09-2025,14:50:04:553300,1.783,2.58
103,26-09-2025,14:50:05:584305,1.363,2.58
104,26-09-2025,14:50:06:616300,1.978,2.58
105,26-09-2025,14:50:07:649300,0.934,2.58
106,26-09-2025,14:50:08:680282,2.242,2.59
107,26-09-2025,14:50:09:711455,0.937,2.60
108,26-09-2025,14:50:10:748384,1.277,2.60
109,26-09-2025,14:50:11:782445,2.252,2.57
110,26-09-2025,14:50:12:817352,1.571,2.55
111,26-09-2025,14:50:13:848281,1.578,2.59
112,26-09-2025,14:50:14:881323,1.949,2.54
113,26-09-2025,14:50:15:912304,1.143,2.58
114,26-09-2025,14:50:16:946397,2.241,2.59
115,26-09-2025,14:50:17:981302,1.750,2.59
116,26-09-2025,14:50:19:015303,0.965,2.61
117,26-09-2025,14:50:20:047303,2.266,2.59
118,26-09-2025,14:50:21:112796,1.457,2.59
119,26-09-2025,14:50:22:146300,2.161,2.59
120,26-09-2025,14:50:23:177300,0.928,2.59
121,26-09-2025,14:50:24:208305,2.256,2.58
122,26-09-2025,14:50:25:239282,1.031,2.58
123,26-09-2025,14:50:26:270281,2.055,2.59
124,26-09-2025,14:50:27:301307,1.379,2.59
125,26-09-2025,14:50:28:361304,1.343,2.58
126,26-09-2025,14:50:29:394671,1.381,2.58
127,26-09-2025,14:50:30:450447,2.187,2.57
128,26-09-2025,14:50:31:481442,1.292,2.58
129,26-09-2025,14:50:32:516303,1.152,2.59
130,26-09-2025,14:50:33:550304,2.223,2.59
131,26-09-2025,14:50:34:581279,1.190,2.59
132,26-09-2025,14:50:35:612415,1.856,2.61
133,26-09-2025,14:50:36:648416,2.154,2.57
134,26-09-2025,14:50:37:682304,1.353,2.59
135,26-09-2025,14:50:38:713305,1.748,2.59
136,26-09-2025,14:50:39:744399,1.636,2.58
137,26-09-2025,14:50:40:775353,1.424,2.58
138,26-09-2025,14:50:41:806305,1.867,2.60
139,26-09-2025,14:50:42:837305,1.189,2.58
140,26-09-2025,14:50:43:873408,1.897,2.59
141,26-09-2025,14:50:44:910303,2.235,2.60
142,26-09-2025,14:50:45:944305,1.457,2.59
143,26-09-2025,14:50:46:975437,1.623,2.57
144,26-09-2025,14:50:48:006356,1.695,2.61
145,26-09-2025,14:50:49:037280,1.401,2.60
146,26-09-2025,14:50:50:071306,2.213,2.58
147,26-09-2025,14:50:51:102303,0.943,2.59
148,26-09-2025,14:50:52:133301,2.252,2.59
149,26-09-2025,14:50:53:164278,1.078,2.59
150,26-09-2025,14:50:54:195306,2.033,2.59
151,26-09-2025,14:50:55:226303,1.350,2.59
152,26-09-2025,14:50:56:257280,1.762,2.58
153,26-09-2025,14:50:57:290278,1.846,2.59
154,26-09-2025,14:50:58:321305,1.227,2.59
155,26-09-2025,14:50:59:354300,2.202,2.59
156,26-09-2025,14:51:00:385727,0.942,2.60
157,26-09-2025,14:51:01:417302,2.222,2.60
158,26-09-2025,14:51:02:448304,1.115,2.58
159,26-09-2025,14:51:03:479561,2.059,2.58
160,26-09-2025,14:51:04:513820,1.833,2.59
161,26-09-2025,14:51:05:545303,1.217,2.54
162,26-09-2025,14:51:06:576399,1.991,2.64
163,26-09-2025,14:51:07:610300,0.967,2.59
164,26-09-2025,14:51:08:641280,2.242,2.58
165,26-09-2025,14:51:09:672304,1.026,2.59
166,26-09-2025,14:51:10:703305,2.185,2.60
167,26-09-2025,14:51:11:738301,1.791,2.58
168,26-09-2025,14:51:12:769302,1.335,2.58
169,26-09-2025,14:51:13:800299,1.879,2.59
170,26-09-2025,14:51:14:831800,1.234,2.59
171,26-09-2025,14:51:15:862304,1.959,2.59
172,26-09-2025,14:51:16:893322,1.156,2.59
173,26-09-2025,14:51:17:924304,2.033,2.59
174,26-09-2025,14:51:18:957308,0.941,2.59
175,26-09-2025,14:51:19:989280,2.205,2.58
176,26-09-2025,14:51:21:020305,1.144,2.59
177,26-09-2025,14:51:22:054304,1.464,2.59
178,26-09-2025,14:51:23:100302,0.960,2.59
179,26-09-2025,14:51:24:131302,2.249,2.59
180,26-09-2025,14:51:25:162281,1.013,2.59
181,26-09-2025,14:51:26:195279,1.797,2.59
182,26-09-2025,14:51:27:226305,1.484,2.59
183,26-09-2025,14:51:28:257762,1.622,2.59
184,26-09-2025,14:51:29:289303,1.719,2.58
185,26-09-2025,14:51:30:329299,1.586,2.59
186,26-09-2025,14:51:31:361299,1.397,2.59
187,26-09-2025,14:51:32:392302,1.804,2.59
188,26-09-2025,14:51:33:425305,1.058,2.58
189,26-09-2025,14:51:34:456278,2.103,2.59
190,26-09-2025,14:51:35:487799,0.994,2.58
191,26-09-2025,14:51:36:522384,1.895,2.64
192,26-09-2025,14:51:37:554770,1.560,2.59
193,26-09-2025,14:51:38:589301,1.011,2.59
194,26-09-2025,14:51:39:621325,2.245,2.59
195,26-09-2025,14:51:40:654303,1.200,2.58
196,26-09-2025,14:51:41:688304,1.413,2.59
197,26-09-2025,14:51:42:745298,2.104,2.59
198,26-09-2025,14:51:43:776370,1.227,2.60
199,26-09-2025,14:51:44:808298,1.754,2.59
200,26-09-2025,14:51:45:846305,2.235,2.59
201,26-09-2025,14:51:46:877304,1.044,2.58
202,26-09-2025,14:51:47:911300,1.534,2.59
203,26-09-2025,14:51:48:958636,1.031,2.64
204,26-09-2025,14:51:49:990303,1.936,2.58
205,26-09-2025,14:51:51:053297,1.509,2.59
206,26-09-2025,14:51:52:087424,2.114,2.64
207,26-09-2025,14:51:53:119307,0.915,2.59
208,26-09-2025,14:51:54:153799,1.831,2.59
209,26-09-2025,14:51:55:185302,1.604,2.59
210,26-09-2025,14:51:56:216303,1.534,2.59
211,26-09-2025,14:51:57:247303,1.695,2.59
212,26-09-2025,14:51:58:278305,1.442,2.58
213,26-09-2025,14:51:59:310762,1.949,2.59
214,26-09-2025,14:52:00:342346,1.101,2.60
215,26-09-2025,14:52:01:375302,2.254,2.59
216,26-09-2025,14:52:02:406312,0.941,2.58
217,26-09-2025,14:52:03:437303,2.252,2.60
218,26-09-2025,14:52:04:468279,0.956,2.59
219,26-09-2025,14:52:05:499278,2.252,2.59
220,26-09-2025,14:52:06:530305,0.978,2.58
221,26-09-2025,14:52:07:561303,2.236,2.58
222,26-09-2025,14:52:08:594305,1.400,2.60
223,26-09-2025,14:52:09:625301,1.781,2.58
224,26-09-2025,14:52:10:656300,1.483,2.59
225,26-09-2025,14:52:11:687556,1.700,2.58
226,26-09-2025,14:52:12:734303,0.941,2.59
227,26-09-2025,14:52:13:765303,2.252,2.59
228,26-09-2025,14:52:14:796300,0.957,2.58
229,26-09-2025,14:52:15:835304,1.019,2.58
230,26-09-2025,14:52:16:866422,2.148,2.62
231,26-09-2025,14:52:17:932301,1.745,2.58
232,26-09-2025,14:52:18:963305,1.509,2.59
233,26-09-2025,14:52:19:994280,1.715,2.59
234,26-09-2025,14:52:21:026305,1.662,2.59
235,26-09-2025,14:52:22:058302,1.380,2.59
236,26-09-2025,14:52:23:108304,1.643,2.59
237,26-09-2025,14:52:24:140299,1.398,2.59
238,26-09-2025,14:52:25:171281,1.770,2.59
239,26-09-2025,14:52:26:202301,1.434,2.59
240,26-09-2025,14:52:27:233311,1.708,2.61
241,26-09-2025,14:52:28:265302,1.364,2.58
242,26-09-2025,14:52:29:296304,1.778,2.59
243,26-09-2025,14:52:30:329304,1.171,2.59
244,26-09-2025,14:52:31:360304,1.940,2.58
245,26-09-2025,14:52:32:391318,1.266,2.58
246,26-09-2025,14:52:33:422391,1.852,2.61
247,26-09-2025,14:52:34:453337,1.405,2.58
248,26-09-2025,14:52:35:485300,1.862,2.58
249,26-09-2025,14:52:36:549323,2.156,2.59
250,26-09-2025,14:52:37:585306,1.447,2.58
251,26-09-2025,14:52:38:641379,1.081,2.52
252,26-09-2025,14:52:39:675304,2.264,2.59
253,26-09-2025,14:52:40:709300,1.422,2.59
254,26-09-2025,14:52:41:740326,1.900,2.59
255,26-09-2025,14:52:42:774314,1.736,2.60
256,26-09-2025,14:52:43:805302,1.519,2.59
257,26-09-2025,14:52:44:838298,1.877,2.58
258,26-09-2025,14:52:45:872302,0.977,2.59
259,26-09-2025,14:52:46:904298,2.193,2.59
260,26-09-2025,14:52:47:935279,0.994,2.68
261,26-09-2025,14:52:48:966434,2.081,2.60
262,26-09-2025,14:52:50:000302,0.958,2.59
263,26-09-2025,14:52:51:046414,1.684,2.62
264,26-09-2025,14:52:52:080303,1.173,2.58
265,26-09-2025,14:52:53:111305,1.910,2.59
266,26-09-2025,14:52:54:142282,1.332,2.59
267,26-09-2025,14:52:55:173305,1.764,2.59
268,26-09-2025,14:52:56:215409,1.843,2.64
269,26-09-2025,14:52:57:247304,1.272,2.59
270,26-09-2025,14:52:58:280301,2.061,2.58
271,26-09-2025,14:52:59:314301,0.953,2.58
272,26-09-2025,14:53:00:345302,2.235,2.59
273,26-09-2025,14:53:01:376517,0.949,2.58
274,26-09-2025,14:53:02:407306,2.154,2.59
275,26-09-2025,14:53:03:438305,1.039,2.59
276,26-09-2025,14:53:04:469306,2.039,2.57
277,26-09-2025,14:53:05:522361,0.930,2.64
278,26-09-2025,14:53:06:556304,2.113,2.58
279,26-09-2025,14:53:07:590303,1.616,2.59
280,26-09-2025,14:53:08:621306,1.665,2.59
281,26-09-2025,14:53:09:652281,1.479,2.60
282,26-09-2025,14:53:10:683306,1.818,2.58
283,26-09-2025,14:53:11:717303,1.803,2.58
284,26-09-2025,14:53:12:750322,1.147,2.59
285,26-09-2025,14:53:13:781280,1.942,2.58
286,26-09-2025,14:53:14:812344,1.237,2.59
287,26-09-2025,14:53:15:843303,1.835,2.59
288,26-09-2025,14:53:16:874305,1.390,2.59
289,26-09-2025,14:53:17:905281,1.719,2.59
290,26-09-2025,14:53:18:936306,1.524,2.59
291,26-09-2025,14:53:19:970412,2.010,2.58
292,26-09-2025,14:53:21:003304,0.955,2.59
293,26-09-2025,14:53:22:034499,2.164,2.59
294,26-09-2025,14:53:23:066317,0.927,2.58
295,26-09-2025,14:53:24:097304,2.215,2.58
296,26-09-2025,14:53:25:128282,0.944,2.58
297,26-09-2025,14:53:26:159305,2.191,2.58
298,26-09-2025,14:53:27:192306,1.018,2.59
299,26-09-2025,14:53:28:224299,2.084,2.58
300,26-09-2025,14:53:29:258342,1.674,2.59
301,26-09-2025,14:53:30:292754,1.031,2.58
302,26-09-2025,14:53:31:324318,2.171,2.58
303,26-09-2025,14:53:32:355304,0.957,2.59
304,26-09-2025,14:53:33:387305,2.240,2.59
305,26-09-2025,14:53:34:420281,1.182,2.59
306,26-09-2025,14:53:35:451282,2.094,2.58
307,26-09-2025,14:53:36:482305,1.155,2.60
308,26-09-2025,14:53:37:513281,2.133,2.58
