SNO,Date,Time,MQ138,Voltage_V
252,26-09-2025,14:37:31:730285,2496,4.05
253,26-09-2025,14:37:35:417285,2498,4.02
254,26-09-2025,14:37:38:306285,2530,4.03
255,26-09-2025,14:37:41:360285,2502,4.06
256,26-09-2025,14:37:45:660285,2502,4.06
257,26-09-2025,14:37:49:147285,2534,3.95
258,26-09-2025,14:37:52:216285,2537,4.01
259,26-09-2025,14:37:56:309284,2503,4.04
260,26-09-2025,14:37:59:188284,2496,4.03
261,26-09-2025,14:38:02:249285,2499,4.01
262,26-09-2025,14:38:05:123285,2532,4.04
263,26-09-2025,14:38:08:189285,2537,4.03
264,26-09-2025,14:34:49:021285,2484,4.02
265,26-09-2025,14:38:11:270285,2497,4.03
266,26-09-2025,14:38:15:974285,2535,4.01
267,26-09-2025,14:38:19:256296,2498,4.01
268,26-09-2025,14:38:23:544285,2498,4.03
269,26-09-2025,14:38:27:438284,2530,4.06
270,26-09-2025,14:38:30:938285,2496,4.04
271,26-09-2025,14:38:36:884285,2539,4.02
272,26-09-2025,14:38:42:190284,2499,4.02
273,26-09-2025,14:38:45:466339,2498,4
274,26-09-2025,14:38:49:146285,2496,4.01
275,26-09-2025,14:38:52:423285,2531,4.01
276,26-09-2025,14:38:55:700284,2535,4.01
277,26-09-2025,14:38:59:188285,2528,4.01
278,26-09-2025,14:39:02:278285,2526,4.02
279,26-09-2025,14:39:05:536285,2534,4.01
280,26-09-2025,14:39:09:225285,2494,3.99
281,26-09-2025,14:39:12:300285,2494,4.03
282,26-09-2025,14:39:15:156285,2495,3.99
283,26-09-2025,14:39:18:435284,2535,4.01
284,26-09-2025,14:39:23:556285,2531,4
285,26-09-2025,14:39:27:042285,2533,4.05
286,26-09-2025,14:39:30:318285,2539,4.01
287,26-09-2025,14:39:36:727282,2543,4.06
288,26-09-2025,14:39:40:564285,2495,4.02
289,26-09-2025,14:39:43:627284,2494,4.01
290,26-09-2025,14:39:47:116354,2533,4.07
291,26-09-2025,14:39:50:390284,2529,4
