SNO,Date,Time,SGP40,Voltage_V
256,25-09-2025,10:22:00:314689,31270,2.68
257,25-09-2025,10:22:04:901689,31256,2.68
258,25-09-2025,10:22:07:988774,31245,2.68
259,25-09-2025,10:22:11:565689,31230,2.68
260,25-09-2025,10:22:15:348687,31224,2.66
261,25-09-2025,10:22:18:223689,31226,2.67
262,25-09-2025,10:22:21:315689,31223,2.67
263,25-09-2025,10:22:23:954698,31225,2.68
264,25-09-2025,10:22:27:231689,31233,2.67
265,25-09-2025,10:22:30:330689,31244,2.67
266,25-09-2025,10:22:33:575689,31247,2.67
267,25-09-2025,10:22:37:674689,31251,2.68
268,25-09-2025,10:22:41:204651,31252,2.66
269,25-09-2025,10:22:45:332690,31246,2.67
270,25-09-2025,10:22:48:320684,31240,2.68
271,25-09-2025,10:22:51:641687,31228,2.67
272,25-09-2025,10:22:54:664716,31220,2.68
273,25-09-2025,10:23:00:662689,31221,2.67
274,25-09-2025,10:23:03:887826,31224,2.68
275,25-09-2025,10:23:07:983689,31224,2.68
276,25-09-2025,10:23:11:976689,31223,2.67
277,25-09-2025,10:23:17:608754,31244,2.68
278,25-09-2025,10:23:21:084691,31259,2.66
279,25-09-2025,10:23:24:279691,31268,2.66
280,25-09-2025,10:23:28:467690,31271,2.68
281,25-09-2025,10:23:32:048691,31270,2.68
282,25-09-2025,10:23:37:570691,31272,2.69
283,25-09-2025,10:23:40:993651,31273,2.66
284,25-09-2025,10:23:45:355691,31270,2.66
285,25-09-2025,10:23:50:297691,31271,2.67
286,25-09-2025,10:23:54:674691,31276,2.68
287,25-09-2025,10:23:57:543691,31278,2.68
288,25-09-2025,10:24:00:824691,31281,2.66
289,25-09-2025,10:24:05:941772,31281,2.68
290,25-09-2025,10:24:12:086690,31283,2.69
291,25-09-2025,10:24:17:208724,31288,2.68
292,25-09-2025,10:24:21:111690,31293,2.67
293,25-09-2025,10:24:26:014758,31297,2.68
294,25-09-2025,10:24:29:532690,31299,2.67
295,25-09-2025,10:24:34:410690,31298,2.67
296,25-09-2025,10:24:39:325690,31296,2.7
297,25-09-2025,10:24:44:486651,31291,2.66
298,25-09-2025,10:24:49:772830,31281,2.68
299,25-09-2025,10:24:54:788690,31272,2.66
300,25-09-2025,10:25:00:314690,31282,2.66
301,25-09-2025,10:25:05:363691,31287,2.66
302,25-09-2025,10:25:09:845710,31296,2.68
303,25-09-2025,10:25:12:728691,31298,2.68
304,25-09-2025,10:25:15:377691,31294,2.68
305,25-09-2025,10:25:21:110691,31297,2.67
306,25-09-2025,10:25:25:202691,31297,2.68
307,25-09-2025,10:25:30:214691,31296,2.67
308,25-09-2025,10:25:35:051691,31288,2.68
309,25-09-2025,10:25:40:597651,31283,2.66
310,25-09-2025,10:25:45:760690,31276,2.67
311,25-09-2025,10:25:51:004691,31271,2.67
312,25-09-2025,10:25:54:092691,31271,2.68
313,25-09-2025,10:25:57:355691,31276,2.66
314,25-09-2025,10:26:01:656691,31285,2.68
315,25-09-2025,10:26:04:522691,31285,2.67
316,25-09-2025,10:26:08:041691,31289,2.66
317,25-09-2025,10:26:13:334691,31292,2.67
318,25-09-2025,10:26:17:232690,31289,2.68
319,25-09-2025,10:26:20:106691,31292,2.67
320,25-09-2025,10:26:23:404690,31294,2.66
321,25-09-2025,10:26:26:362691,31289,2.66
322,25-09-2025,10:26:29:932691,31282,2.66
323,25-09-2025,10:26:33:806691,31272,2.68
324,25-09-2025,10:26:37:292691,31265,2.68
325,25-09-2025,10:26:41:043651,31260,2.66
326,25-09-2025,10:26:44:867691,31259,2.66
327,25-09-2025,10:26:51:048691,31260,2.69
328,25-09-2025,10:26:55:317722,31260,2.68
329,25-09-2025,10:26:59:433691,31271,2.66
330,25-09-2025,10:27:09:507690,31271,2.67
331,25-09-2025,10:27:16:617691,31277,2.68
332,25-09-2025,10:27:22:372691,31280,2.66
333,25-09-2025,10:27:26:497691,31266,2.67
334,25-09-2025,10:27:31:100691,31259,2.66
335,25-09-2025,10:27:36:898691,31271,2.68
336,25-09-2025,10:27:40:517651,31287,2.67
337,25-09-2025,10:27:44:061724,31292,2.67
338,25-09-2025,10:27:49:402691,31293,2.68
339,25-09-2025,10:27:53:484691,31294,2.67
340,25-09-2025,10:27:59:673690,31292,2.67
341,25-09-2025,10:28:03:419691,31287,2.69
342,25-09-2025,10:28:06:701691,31288,2.68
343,25-09-2025,10:28:12:320691,31293,2.67
344,25-09-2025,10:28:17:439691,31309,2.68
345,25-09-2025,10:28:21:536691,31323,2.69
