SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
1845,04-08-2025,11:42:48:000,Puff,370,94.63,96.13,,,,2.31,1558.43,,p-Cresol,1ml,6
1846,04-08-2025,11:42:49:000,Puff,370,93.65,93.59,,,,2.31,1558.45,,p-Cresol,1ml,6
1847,04-08-2025,11:42:50:000,Puff,370,95.34,95.77,,,,2.29,1569.78,,p-Cresol,1ml,6
1848,04-08-2025,11:42:52:000,Puff,370,92.69,95.64,,,,2.30,1580.62,,p-Cresol,1ml,6
1849,04-08-2025,11:42:53:000,Puff,370,90.33,91.58,,,,2.31,1584.68,,p-Cresol,1ml,6
1850,04-08-2025,11:42:54:000,Puff,370,93.84,95.38,,,,2.29,1566.85,,p-Cresol,1ml,6
1851,04-08-2025,11:42:56:000,Puff,370,93.13,97.14,,,,2.31,1588.87,,p-Cresol,1ml,6
1852,04-08-2025,11:42:57:000,Puff,370,94.37,94.75,,,,2.29,1576.04,,p-Cresol,1ml,6
1853,04-08-2025,11:43:01:000,Puff,370,94.96,95.78,,,,2.30,1569.05,,p-Cresol,1ml,6
1854,04-08-2025,11:43:03:000,Puff,370,93.20,94.16,,,,2.31,1559.16,,p-Cresol,1ml,6
1855,04-08-2025,11:43:04:000,Puff,370,91.47,91.60,,,,2.33,1562.76,,p-Cresol,1ml,6
1856,04-08-2025,11:43:05:000,Puff,370,96.61,96.84,,,,2.29,1566.11,,p-Cresol,1ml,6
1857,04-08-2025,11:43:06:000,Puff,370,93.27,95.22,,,,2.33,1581.17,,p-Cresol,1ml,6
1858,04-08-2025,11:43:08:000,Puff,370,89.12,90.63,,,,2.30,1571.43,,p-Cresol,1ml,6
1859,04-08-2025,11:43:09:000,Puff,370,94.78,94.80,,,,2.32,1560.35,,p-Cresol,1ml,6
1860,04-08-2025,11:43:10:000,Puff,370,95.23,95.69,,,,2.30,1581.04,,p-Cresol,1ml,6
1861,04-08-2025,11:43:11:000,Puff,370,92.86,97.56,,,,2.34,1575.04,,p-Cresol,1ml,6
1862,04-08-2025,11:43:12:000,Puff,370,91.72,95.85,,,,2.34,1592.30,,p-Cresol,1ml,6
1863,04-08-2025,11:43:13:000,Puff,370,91.70,96.81,,,,2.33,1586.30,,p-Cresol,1ml,6
1864,04-08-2025,11:43:14:000,Puff,370,94.49,96.87,,,,2.32,1575.52,,p-Cresol,1ml,6
1865,04-08-2025,11:43:15:000,Puff,370,89.90,93.71,,,,2.33,1560.74,,p-Cresol,1ml,6
1866,04-08-2025,11:43:17:000,Puff,370,94.66,94.41,,,,2.34,1577.75,,p-Cresol,1ml,6
1867,04-08-2025,11:43:18:000,Puff,370,88.31,90.75,,,,2.33,1591.35,,p-Cresol,1ml,6
1868,04-08-2025,11:43:19:000,Puff,370,93.60,95.85,,,,2.34,1595.41,,p-Cresol,1ml,6
1869,04-08-2025,11:43:20:000,Puff,370,94.85,95.90,,,,2.35,1576.74,,p-Cresol,1ml,6
1870,04-08-2025,11:43:21:000,Puff,370,93.83,94.59,,,,2.34,1589.56,,p-Cresol,1ml,6
1871,04-08-2025,11:43:22:000,Puff,370,89.69,92.59,,,,2.33,1594.40,,p-Cresol,1ml,6
1872,04-08-2025,11:43:25:000,Puff,370,93.22,95.36,,,,2.31,1569.38,,p-Cresol,1ml,6
1873,04-08-2025,11:43:26:000,Puff,370,93.43,95.13,,,,2.35,1594.56,,p-Cresol,1ml,6
1874,04-08-2025,11:43:28:000,Puff,370,94.87,94.33,,,,2.33,1590.61,,p-Cresol,1ml,6
1875,04-08-2025,11:43:29:000,Puff,370,87.37,91.83,,,,2.33,1588.63,,p-Cresol,1ml,6
1876,04-08-2025,11:43:30:000,Puff,370,87.79,87.66,,,,2.35,1567.35,,p-Cresol,1ml,6
1877,04-08-2025,11:43:32:000,Puff,370,94.12,96.12,,,,2.34,1577.28,,p-Cresol,1ml,6
1878,04-08-2025,11:43:33:000,Puff,370,92.56,93.50,,,,2.33,1581.40,,p-Cresol,1ml,6
1879,04-08-2025,11:43:34:000,Puff,370,92.59,95.14,,,,2.36,1575.02,,p-Cresol,1ml,6
1880,04-08-2025,11:43:35:000,Puff,370,93.88,96.88,,,,2.33,1586.33,,p-Cresol,1ml,6
1881,04-08-2025,11:43:37:000,Puff,370,93.33,95.83,,,,2.34,1599.42,,p-Cresol,1ml,6
1882,04-08-2025,11:43:38:000,Puff,370,93.77,96.23,,,,2.36,1582.51,,p-Cresol,1ml,6
1883,04-08-2025,11:43:39:000,Puff,370,93.74,94.25,,,,2.35,1578.24,,p-Cresol,1ml,6
1884,04-08-2025,11:43:40:000,Puff,370,93.30,97.28,,,,2.34,1575.28,,p-Cresol,1ml,6
1885,04-08-2025,11:43:42:000,Puff,370,87.16,92.61,,,,2.34,1589.42,,p-Cresol,1ml,6
1886,04-08-2025,11:43:43:000,Puff,370,93.99,93.96,,,,2.36,1571.32,,p-Cresol,1ml,6
1887,04-08-2025,11:43:44:000,Puff,370,94.76,95.53,,,,2.35,1578.97,,p-Cresol,1ml,6
1888,04-08-2025,11:43:45:000,Puff,370,93.95,97.31,,,,2.34,1593.18,,p-Cresol,1ml,6
1889,04-08-2025,11:43:47:000,Puff,370,93.51,96.68,,,,2.37,1574.69,,p-Cresol,1ml,6
1890,04-08-2025,11:43:48:000,Puff,370,94.15,96.62,,,,2.37,1602.36,,p-Cresol,1ml,6
1891,04-08-2025,11:43:49:000,Puff,370,94.56,96.42,,,,2.37,1583.72,,p-Cresol,1ml,6
1892,04-08-2025,11:43:50:000,Puff,370,93.39,94.54,,,,2.37,1601.85,,p-Cresol,1ml,6
1893,04-08-2025,11:43:52:000,Puff,370,87.39,92.60,,,,2.38,1588.37,,p-Cresol,1ml,6
1894,04-08-2025,11:43:53:000,Puff,370,94.67,94.22,,,,2.34,1580.64,,p-Cresol,1ml,6
1895,04-08-2025,11:43:54:000,Puff,370,92.80,95.17,,,,2.39,1609.01,,p-Cresol,1ml,6
1896,04-08-2025,11:43:56:000,Puff,370,94.86,96.91,,,,2.38,1584.00,,p-Cresol,1ml,6
1897,04-08-2025,11:43:57:000,Puff,370,94.43,96.33,,,,2.39,1595.34,,p-Cresol,1ml,6
1898,04-08-2025,11:43:58:000,Puff,370,94.63,95.80,,,,2.36,1574.32,,p-Cresol,1ml,6
1899,04-08-2025,11:43:59:000,Puff,370,91.77,87.65,,,,2.37,1593.39,,p-Cresol,1ml,6
1900,04-08-2025,11:44:00:000,Puff,370,92.56,95.70,,,,2.35,1583.41,,p-Cresol,1ml,6
1901,04-08-2025,11:44:01:000,Puff,370,95.94,94.75,,,,2.40,1601.32,,p-Cresol,1ml,6
1902,04-08-2025,11:44:03:000,Puff,370,92.88,95.29,,,,2.35,1583.51,,p-Cresol,1ml,6
1903,04-08-2025,11:44:04:000,Puff,370,94.25,93.46,,,,2.40,1613.37,,p-Cresol,1ml,6
1904,04-08-2025,11:44:05:000,Puff,370,91.95,93.30,,,,2.36,1596.09,,p-Cresol,1ml,6
1905,04-08-2025,11:44:07:000,Puff,370,85.22,90.34,,,,2.39,1609.54,,p-Cresol,1ml,6
1906,04-08-2025,11:44:08:000,Puff,370,92.24,96.69,,,,2.37,1593.52,,p-Cresol,1ml,6
1907,04-08-2025,11:44:09:000,Puff,370,94.24,94.91,,,,2.40,1590.18,,p-Cresol,1ml,6
1908,04-08-2025,11:44:11:000,Puff,370,93.60,93.32,,,,2.39,1604.61,,p-Cresol,1ml,6
1909,04-08-2025,11:44:12:000,Puff,370,95.81,96.58,,,,2.40,1587.29,,p-Cresol,1ml,6
1910,04-08-2025,11:44:13:000,Puff,370,93.17,97.87,,,,2.37,1593.87,,p-Cresol,1ml,6
1911,04-08-2025,11:44:15:000,Puff,370,93.37,95.40,,,,2.36,1601.70,,p-Cresol,1ml,6
1912,04-08-2025,11:44:16:000,Puff,370,94.90,95.76,,,,2.39,1582.39,,p-Cresol,1ml,6
1913,04-08-2025,11:44:17:000,Puff,370,93.41,95.52,,,,2.40,1614.72,,p-Cresol,1ml,6
1914,04-08-2025,11:44:18:000,Puff,370,95.48,95.97,,,,2.41,1581.69,,p-Cresol,1ml,6
1915,04-08-2025,11:44:20:000,Puff,370,94.23,95.47,,,,2.37,1611.78,,p-Cresol,1ml,6
1916,04-08-2025,11:44:21:000,Puff,370,93.80,95.59,,,,2.38,1593.61,,p-Cresol,1ml,6
1917,04-08-2025,11:44:22:000,Puff,370,94.91,94.38,,,,2.38,1608.60,,p-Cresol,1ml,6
1918,04-08-2025,11:44:23:000,Puff,370,87.62,93.47,,,,2.38,1591.83,,p-Cresol,1ml,6
1919,04-08-2025,11:44:25:000,Puff,370,91.13,96.99,,,,2.42,1613.34,,p-Cresol,1ml,6
1920,04-08-2025,11:44:26:000,Puff,370,90.82,96.48,,,,2.38,1586.81,,p-Cresol,1ml,6
1921,04-08-2025,11:44:27:000,Puff,370,92.75,95.97,,,,2.39,1596.12,,p-Cresol,1ml,6
