SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
136,05-08-2025,10:37:46:032465,Puff,322,89.67,89.18,30.18,68.93,43700,0.092,0.177,29924,p-Cresol,1ml,6
137,05-08-2025,10:37:48:076464,Puff,322,83.89,87.51,30.17,69.01,43170,0.079,0.189,29922,p-Cresol,1ml,6
138,05-08-2025,10:37:49:711465,Puff,322,87.17,89.82,30.17,69.05,43257,0.076,0.182,29917,p-Cresol,1ml,6
139,05-08-2025,10:37:51:155465,Puff,322,87.70,90.64,30.17,69.02,43434,0.112,0.181,29912,p-Cresol,1ml,6
140,05-08-2025,10:37:52:579480,Puff,322,64.62,70.88,30.18,68.99,43790,0.074,0.177,29904,p-Cresol,1ml,6
141,05-08-2025,10:37:54:016465,Puff,322,86.99,90.33,30.18,68.94,44153,0.070,0.190,29896,p-Cresol,1ml,6
142,05-08-2025,10:37:55:655465,Puff,322,86.34,90.93,30.18,68.95,43700,0.069,0.182,29892,p-Cresol,1ml,6
143,05-08-2025,10:37:57:085464,Puff,322,86.69,90.66,30.18,68.95,44153,0.084,0.194,29889,p-Cresol,1ml,6
144,05-08-2025,10:37:58:569465,Puff,322,81.52,83.96,30.19,68.95,43971,0.101,0.201,29881,p-Cresol,1ml,6
145,05-08-2025,10:38:00:158464,Puff,322,86.91,89.26,30.18,68.95,43925,0.076,0.186,29878,p-Cresol,1ml,6
146,05-08-2025,10:38:01:804465,Puff,322,81.82,85.53,30.18,68.95,43880,0.093,0.189,29878,p-Cresol,1ml,6
147,05-08-2025,10:38:03:229465,Puff,322,86.27,89.19,30.18,68.97,44153,0.076,0.189,29878,p-Cresol,1ml,6
148,05-08-2025,10:38:04:875464,Puff,322,89.50,90.38,30.18,68.96,44016,0.095,0.176,29876,p-Cresol,1ml,6
149,05-08-2025,10:38:06:301464,Puff,322,85.96,82.58,30.19,68.95,44336,0.076,0.206,29873,p-Cresol,1ml,6
150,05-08-2025,10:38:07:735464,Puff,322,88.17,89.37,30.19,68.93,44336,0.094,0.206,29874,p-Cresol,1ml,6
151,05-08-2025,10:38:09:373465,Puff,322,88.42,90.57,30.19,68.93,44336,0.089,0.209,29867,p-Cresol,1ml,6
152,05-08-2025,10:38:11:015464,Puff,322,89.59,89.95,30.18,68.95,44244,0.089,0.189,29868,p-Cresol,1ml,6
153,05-08-2025,10:38:12:445465,Puff,322,90.42,90.25,30.19,68.94,44568,0.071,0.200,29867,p-Cresol,1ml,6
154,05-08-2025,10:38:13:883465,Puff,322,87.47,91.34,30.19,68.93,44614,0.075,0.197,29871,p-Cresol,1ml,6
155,05-08-2025,10:38:15:725465,Puff,322,88.58,91.30,30.18,68.97,44153,0.071,0.195,29872,p-Cresol,1ml,6
156,05-08-2025,10:38:17:159465,Puff,322,86.98,89.62,30.18,68.97,44429,0.082,0.212,29873,p-Cresol,1ml,6
157,05-08-2025,10:38:18:590465,Puff,322,89.27,87.19,30.19,68.95,44568,0.121,0.209,29870,p-Cresol,1ml,6
158,05-08-2025,10:38:20:023465,Puff,322,85.51,89.72,30.19,68.93,44708,0.113,0.189,29870,p-Cresol,1ml,6
159,05-08-2025,10:38:21:665464,Puff,322,86.79,89.77,30.19,68.95,44614,0.116,0.205,29865,p-Cresol,1ml,6
160,05-08-2025,10:38:23:301465,Puff,322,90.55,87.46,30.19,68.96,44568,0.077,0.207,29862,p-Cresol,1ml,6
161,05-08-2025,10:38:26:986465,Puff,322,86.28,90.45,30.16,69.34,42780,0.100,0.192,29853,p-Cresol,1ml,6
162,05-08-2025,10:38:28:628465,Puff,322,87.86,90.37,30.15,69.30,42996,0.084,0.192,29845,p-Cresol,1ml,6
163,05-08-2025,10:38:30:264465,Puff,322,86.13,87.35,30.15,69.23,42996,0.124,0.221,29838,p-Cresol,1ml,6
164,05-08-2025,10:38:31:698465,Puff,322,87.97,90.76,30.16,69.15,43126,0.088,0.217,29835,p-Cresol,1ml,6
165,05-08-2025,10:38:33:143465,Puff,322,87.57,90.13,30.16,69.09,43745,0.116,0.219,29833,p-Cresol,1ml,6
166,05-08-2025,10:38:34:575465,Puff,322,86.27,91.17,30.17,69.04,43880,0.094,0.224,29833,p-Cresol,1ml,6
167,05-08-2025,10:38:36:006465,Puff,322,87.85,90.50,30.18,69.01,44198,0.101,0.213,29833,p-Cresol,1ml,6
168,05-08-2025,10:38:37:842465,Puff,322,90.87,90.15,30.17,69.04,43880,0.109,0.216,29839,p-Cresol,1ml,6
169,05-08-2025,10:38:39:686464,Puff,322,87.44,91.25,30.16,69.08,43700,0.081,0.212,29842,p-Cresol,1ml,6
170,05-08-2025,10:38:41:324465,Puff,322,83.40,87.60,30.16,69.08,43880,0.097,0.203,29841,p-Cresol,1ml,6
171,05-08-2025,10:38:42:758465,Puff,322,86.23,91.48,30.17,69.04,44061,0.107,0.225,29843,p-Cresol,1ml,6
172,05-08-2025,10:38:44:191465,Puff,322,89.73,90.30,30.18,68.99,44290,0.113,0.206,29843,p-Cresol,1ml,6
173,05-08-2025,10:38:45:830464,Puff,322,83.49,83.59,30.18,68.98,44244,0.126,0.217,29847,p-Cresol,1ml,6
174,05-08-2025,10:38:47:676465,Puff,322,87.14,90.75,30.17,69.04,44061,0.083,0.209,29854,p-Cresol,1ml,6
175,05-08-2025,10:38:49:155465,Puff,322,89.91,90.96,30.17,69.02,44198,0.088,0.216,29856,p-Cresol,1ml,6
176,05-08-2025,10:38:50:746464,Puff,322,83.92,91.60,30.17,69.01,44429,0.125,0.216,29864,p-Cresol,1ml,6
177,05-08-2025,10:38:52:387465,Puff,322,88.64,93.97,30.17,69.01,44475,0.106,0.232,29868,p-Cresol,1ml,6
178,05-08-2025,10:38:54:023465,Puff,322,87.54,89.37,30.17,69.00,44382,0.095,0.225,29871,p-Cresol,1ml,6
179,05-08-2025,10:38:55:669465,Puff,322,90.14,91.26,30.17,69.00,44614,0.121,0.209,29876,p-Cresol,1ml,6
180,05-08-2025,10:38:57:096465,Puff,322,89.27,90.76,30.18,68.99,44896,0.087,0.211,29883,p-Cresol,1ml,6
181,05-08-2025,10:38:58:734465,Puff,322,90.75,86.99,30.18,68.97,44943,0.094,0.236,29882,p-Cresol,1ml,6
182,05-08-2025,10:39:00:167464,Puff,322,87.15,92.99,30.18,68.94,45133,0.091,0.213,29885,p-Cresol,1ml,6
183,05-08-2025,10:39:02:215465,Puff,322,89.85,91.84,30.17,69.00,44521,0.131,0.231,29885,p-Cresol,1ml,6
184,05-08-2025,10:39:03:649465,Puff,322,89.63,89.25,30.18,69.01,45038,0.129,0.242,29885,p-Cresol,1ml,6
185,05-08-2025,10:39:05:495465,Puff,322,89.73,89.39,30.17,69.01,44708,0.132,0.217,29888,p-Cresol,1ml,6
186,05-08-2025,10:39:06:926465,Puff,322,87.73,91.63,30.18,68.99,45086,0.104,0.238,29888,p-Cresol,1ml,6
187,05-08-2025,10:39:08:572465,Puff,322,87.64,92.73,30.18,68.97,45229,0.128,0.218,29889,p-Cresol,1ml,6
188,05-08-2025,10:39:09:998465,Puff,322,90.27,90.51,30.18,68.95,45277,0.106,0.226,29889,p-Cresol,1ml,6
189,05-08-2025,10:39:11:842465,Puff,322,90.58,92.23,30.18,68.96,45086,0.123,0.242,29890,p-Cresol,1ml,6
190,05-08-2025,10:39:13:481465,Puff,322,89.20,93.94,30.18,68.96,45277,0.103,0.221,29893,p-Cresol,1ml,6
191,05-08-2025,10:39:14:914465,Puff,322,89.47,90.53,30.18,68.93,45277,0.124,0.230,29894,p-Cresol,1ml,6
192,05-08-2025,10:39:16:347465,Puff,322,87.55,90.39,30.19,68.88,45714,0.121,0.238,29893,p-Cresol,1ml,6
193,05-08-2025,10:39:18:192465,Puff,322,87.41,90.29,30.19,68.92,45325,0.120,0.245,29896,p-Cresol,1ml,6
194,05-08-2025,10:39:19:625465,Puff,322,89.19,92.45,30.19,68.91,45665,0.108,0.237,29894,p-Cresol,1ml,6
195,05-08-2025,10:39:23:311465,Puff,322,81.24,85.89,30.16,69.24,43925,0.141,0.234,29897,p-Cresol,1ml,6
196,05-08-2025,10:39:27:408465,Puff,322,89.59,91.91,30.14,69.53,42063,0.144,0.247,29899,p-Cresol,1ml,6
197,05-08-2025,10:39:30:072464,Puff,322,86.77,86.30,30.12,69.48,41693,0.119,0.225,29901,p-Cresol,1ml,6
198,05-08-2025,10:39:32:118465,Puff,322,87.67,91.86,30.12,69.42,41531,0.116,0.228,29907,p-Cresol,1ml,6
199,05-08-2025,10:39:34:372465,Puff,322,89.80,92.67,30.11,69.37,41531,0.102,0.250,29907,p-Cresol,1ml,6
200,05-08-2025,10:39:36:010464,Puff,322,87.20,90.66,30.12,69.28,41693,0.104,0.251,29907,p-Cresol,1ml,6
