SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
100,14-08-2025,14:10:42:022270,Pre-Puff,596,64,0,17.97,53.79,154963,32530,N/A,N/A,N/A
101,14-08-2025,14:10:47:386269,Pre-Puff,596,70,0,17.92,53.56,145827,32530,N/A,N/A,N/A
102,14-08-2025,14:10:48:780270,Pre-Puff,596,69,0,17.9,53.49,165321,32536,N/A,N/A,N/A
103,14-08-2025,14:10:50:215268,Pre-Puff,596,69,0,17.89,53.39,179020,32539,N/A,N/A,N/A
104,14-08-2025,14:10:51:646270,Pre-Puff,596,68,0,17.88,53.29,193902,32541,N/A,N/A,N/A
105,14-08-2025,14:10:54:514269,Pre-Puff,596,67,0,17.84,53.2,183842,32544,N/A,N/A,N/A
106,14-08-2025,14:10:55:947270,Pre-Puff,596,68,0,17.83,53.23,198989,32551,N/A,N/A,N/A
107,14-08-2025,14:10:57:382269,Pre-Puff,596,70,0,17.83,53.23,205457,32551,N/A,N/A,N/A
108,14-08-2025,14:10:58:819270,Pre-Puff,596,66,0,17.83,53.25,211832,32555,N/A,N/A,N/A
109,14-08-2025,14:11:01:888269,Pre-Puff,596,71,0,17.8,53.3,198642,32547,N/A,N/A,N/A
110,14-08-2025,14:11:03:321270,Pre-Puff,596,65,0,17.8,53.34,207329,32553,N/A,N/A,N/A
111,14-08-2025,14:11:04:755269,Pre-Puff,596,67,0,17.8,53.35,214091,32554,N/A,N/A,N/A
112,14-08-2025,14:11:06:188270,Pre-Puff,596,69,0,17.81,53.35,219459,32547,N/A,N/A,N/A
113,14-08-2025,14:11:07:622269,Pre-Puff,596,70,0,17.81,53.32,222029,32549,N/A,N/A,N/A
114,14-08-2025,14:11:09:057270,Pre-Puff,596,70,0,17.81,53.26,226298,32553,N/A,N/A,N/A
115,14-08-2025,14:11:10:489269,Pre-Puff,596,63,0,17.81,53.19,228571,32550,N/A,N/A,N/A
116,14-08-2025,14:11:16:019270,Pre-Puff,596,64,0,17.77,53.22,185037,32549,N/A,N/A,N/A
117,14-08-2025,14:11:17:453269,Pre-Puff,596,68,0,17.76,53.24,201813,32554,N/A,N/A,N/A
118,14-08-2025,14:11:18:887270,Pre-Puff,596,70,0,17.76,53.2,211177,32551,N/A,N/A,N/A
119,14-08-2025,14:11:20:321268,Pre-Puff,596,67,0,17.77,53.13,219037,32545,N/A,N/A,N/A
120,14-08-2025,14:11:21:755270,Pre-Puff,596,69,0,17.77,53.07,223629,32547,N/A,N/A,N/A
121,14-08-2025,14:11:23:190269,Pre-Puff,596,69,0,17.77,52.99,227505,32546,N/A,N/A,N/A
122,14-08-2025,14:11:24:626270,Pre-Puff,596,67,0,17.78,52.96,230423,32545,N/A,N/A,N/A
123,14-08-2025,14:11:26:057268,Pre-Puff,596,67,0,17.78,52.92,232146,32547,N/A,N/A,N/A
124,14-08-2025,14:11:27:489270,Pre-Puff,596,64,0,17.78,52.86,234862,32546,N/A,N/A,N/A
125,14-08-2025,14:11:28:922269,Pre-Puff,596,68,0,17.77,52.81,236325,32551,N/A,N/A,N/A
126,14-08-2025,14:11:30:407270,Pre-Puff,596,69,0,17.76,52.77,237476,32550,N/A,N/A,N/A
127,14-08-2025,14:11:31:790269,Pre-Puff,596,70,0,17.76,52.73,239308,32551,N/A,N/A,N/A
128,14-08-2025,14:11:33:225270,Pre-Puff,596,64,0,17.75,52.73,240150,32551,N/A,N/A,N/A
