SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
246,14-08-2025,14:04:03:570926,596,19.77,56.46,166449
247,14-08-2025,14:04:04:799926,596,19.78,56.43,165642
248,14-08-2025,14:04:06:029926,596,19.78,56.42,166449
249,14-08-2025,14:04:07:464926,596,19.77,56.4,163421
250,14-08-2025,14:04:08:690926,596,19.75,56.31,166287
251,14-08-2025,14:04:10:124926,596,19.73,56.16,164365
252,14-08-2025,14:04:11:353926,596,19.72,56.02,166938
253,14-08-2025,14:04:16:474930,596,19.58,55.76,128772
254,14-08-2025,14:04:17:702926,596,19.5,55.67,143016
255,14-08-2025,14:04:19:135926,596,19.42,55.51,149926
256,14-08-2025,14:04:20:778926,596,19.34,55.4,151524
257,14-08-2025,14:04:22:207926,596,19.28,55.34,155528
258,14-08-2025,14:04:23:436926,596,19.25,55.32,160350
259,14-08-2025,14:04:24:667926,596,19.23,55.28,163735
260,14-08-2025,14:04:26:099005,596,19.2,55.27,162953
261,14-08-2025,14:04:27:327926,596,19.19,55.29,165321
262,14-08-2025,14:04:28:761926,596,19.17,55.3,164683
263,14-08-2025,14:04:30:194926,596,19.15,55.34,164049
264,14-08-2025,14:04:31:628926,596,19.14,55.39,162953
265,14-08-2025,14:04:33:065926,596,19.13,55.4,163421
266,14-08-2025,14:04:34:290926,596,19.14,55.46,165642
267,14-08-2025,14:04:35:726926,596,19.14,55.48,163735
268,14-08-2025,14:04:36:956926,596,19.15,55.53,166612
269,14-08-2025,14:04:38:181926,596,19.16,55.52,167758
270,14-08-2025,14:04:39:413926,596,19.17,55.52,169256
271,14-08-2025,14:04:40:844926,596,19.17,55.5,166612
272,14-08-2025,14:04:42:073926,596,19.18,55.5,167923
273,14-08-2025,14:04:43:302926,596,19.19,55.51,168587
274,14-08-2025,14:04:44:531926,596,19.19,55.5,170269
275,14-08-2025,14:04:45:965926,596,19.19,55.51,167265
276,14-08-2025,14:04:47:193926,596,19.19,55.51,168587
277,14-08-2025,14:04:48:626926,596,19.19,55.51,167429
278,14-08-2025,14:04:49:857976,596,19.2,55.5,168587
279,14-08-2025,14:04:51:093926,596,19.21,55.48,169256
280,14-08-2025,14:04:52:517926,596,19.2,55.43,168255
281,14-08-2025,14:04:53:951926,596,19.19,55.34,167265
282,14-08-2025,14:04:55:385926,596,19.16,55.16,167923
283,14-08-2025,14:04:56:613926,596,19.14,54.95,170951
284,14-08-2025,14:04:58:048926,596,19.1,54.65,169088
285,14-08-2025,14:04:59:276926,596,19.07,54.47,171812
286,14-08-2025,14:05:00:711926,596,19.03,54.27,170269
287,14-08-2025,14:05:02:145926,596,18.99,54.15,169592
288,14-08-2025,14:05:03:577926,596,18.94,54.12,168921
289,14-08-2025,14:05:04:805926,596,18.92,54.09,171294
290,14-08-2025,14:05:06:239926,596,18.88,54.06,170609
291,14-08-2025,14:05:07:468926,596,18.86,54.05,171985
292,14-08-2025,14:05:08:901926,596,18.83,54.04,169930
293,14-08-2025,14:05:10:335926,596,18.81,54.07,169088
294,14-08-2025,14:05:11:769926,596,18.79,54.1,169761
295,14-08-2025,14:05:13:202926,596,18.78,54.15,168255
296,14-08-2025,14:05:14:636926,596,18.77,54.2,167594
297,14-08-2025,14:05:15:868926,596,18.77,54.23,171123
298,14-08-2025,14:05:17:298926,596,18.76,54.22,170099
299,14-08-2025,14:05:18:527926,596,18.77,54.19,171812
300,14-08-2025,14:05:19:961926,596,18.77,54.17,170269
301,14-08-2025,14:05:21:601926,596,18.76,54.18,167101
302,14-08-2025,14:05:23:033926,596,18.76,54.19,166938
