SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
2834,13-08-2025,13:06:26:704846,Pre-Puff,386,83,0,19.51,42.36,198411,31373,N/A,N/A,N/A
2835,13-08-2025,13:06:28:063846,Pre-Puff,386,81,0,19.51,42.25,199804,31377,N/A,N/A,N/A
2836,13-08-2025,13:06:29:385846,Pre-Puff,386,80,0,19.5,42.16,201455,31381,N/A,N/A,N/A
2837,13-08-2025,13:06:30:801846,Pre-Puff,386,81,0,19.49,42.07,202651,31382,N/A,N/A,N/A
2838,13-08-2025,13:06:32:234846,Pre-Puff,386,81,0,19.48,41.97,201455,31384,N/A,N/A,N/A
2839,13-08-2025,13:06:33:673846,Pre-Puff,386,80,0,19.47,41.89,201218,31386,N/A,N/A,N/A
2840,13-08-2025,13:06:35:123845,Pre-Puff,386,80,0,19.46,41.83,201218,31383,N/A,N/A,N/A
2841,13-08-2025,13:06:36:536846,Pre-Puff,386,81,0,19.45,41.82,201337,31383,N/A,N/A,N/A
2842,13-08-2025,13:06:39:521846,Pre-Puff,386,81,0,19.41,41.91,183053,31379,N/A,N/A,N/A
2843,13-08-2025,13:06:42:323846,Pre-Puff,386,81,0,19.38,42.02,177531,31378,N/A,N/A,N/A
2844,13-08-2025,13:06:43:732846,Pre-Puff,386,82,0,19.38,42.07,182661,31377,N/A,N/A,N/A
2845,13-08-2025,13:06:46:792846,Pre-Puff,386,81,0,19.36,42.09,174803,31376,N/A,N/A,N/A
2846,13-08-2025,13:06:48:209846,Pre-Puff,386,80,0,19.37,42.08,178833,31376,N/A,N/A,N/A
2847,13-08-2025,13:06:49:643846,Pre-Puff,386,81,0,19.38,42.05,185037,31378,N/A,N/A,N/A
2848,13-08-2025,13:06:51:077846,Pre-Puff,386,81,0,19.38,41.99,187066,31379,N/A,N/A,N/A
2849,13-08-2025,13:06:52:511846,Pre-Puff,386,80,0,19.39,41.89,193353,31380,N/A,N/A,N/A
2850,13-08-2025,13:06:55:173846,Pre-Puff,386,79,0,19.37,41.78,181110,31384,N/A,N/A,N/A
2851,13-08-2025,13:06:56:614846,Pre-Puff,386,82,0,19.36,41.75,183842,31388,N/A,N/A,N/A
2852,13-08-2025,13:06:58:073846,Pre-Puff,386,81,0,19.36,41.7,186453,31391,N/A,N/A,N/A
2853,13-08-2025,13:06:59:505653,Pre-Puff,386,80,0,19.36,41.65,193792,31395,N/A,N/A,N/A
2854,13-08-2025,13:07:02:341845,Pre-Puff,386,80,0,19.33,41.57,180345,31393,N/A,N/A,N/A
2855,13-08-2025,13:07:03:775845,Pre-Puff,386,82,0,19.33,41.56,183249,31393,N/A,N/A,N/A
2856,13-08-2025,13:07:05:208845,Pre-Puff,386,82,0,19.33,41.52,191724,31392,N/A,N/A,N/A
2857,13-08-2025,13:07:06:642845,Pre-Puff,386,80,0,19.33,41.52,194123,31391,N/A,N/A,N/A
2858,13-08-2025,13:07:07:912845,Pre-Puff,386,81,0,19.34,41.5,197036,31396,N/A,N/A,N/A
2859,13-08-2025,13:07:09:326845,Pre-Puff,386,83,0,19.35,41.47,196923,31395,N/A,N/A,N/A
2860,13-08-2025,13:07:10:752845,Pre-Puff,386,83,0,19.35,41.45,198989,31395,N/A,N/A,N/A
2861,13-08-2025,13:07:12:173844,Pre-Puff,386,81,0,19.35,41.44,199454,31391,N/A,N/A,N/A
2862,13-08-2025,13:07:13:606844,Pre-Puff,386,81,0,19.35,41.45,198873,31390,N/A,N/A,N/A
2863,13-08-2025,13:07:15:039845,Pre-Puff,386,81,0,19.36,41.44,199687,31390,N/A,N/A,N/A
2864,13-08-2025,13:07:16:473845,Pre-Puff,386,82,0,19.36,41.44,200039,31391,N/A,N/A,N/A
2865,13-08-2025,13:07:18:112845,Pre-Puff,386,80,0,19.36,41.43,198642,31390,N/A,N/A,N/A
2866,13-08-2025,13:07:19:548845,Pre-Puff,386,80,0,19.36,41.45,198642,31396,N/A,N/A,N/A
2867,13-08-2025,13:07:21:184845,Pre-Puff,386,81,0,19.35,41.54,196696,31393,N/A,N/A,N/A
2868,13-08-2025,13:07:22:618845,Pre-Puff,386,81,0,19.35,41.7,196923,31391,N/A,N/A,N/A
2869,13-08-2025,13:07:24:051845,Pre-Puff,386,81,0,19.35,41.85,196923,31393,N/A,N/A,N/A
2870,13-08-2025,13:07:25:488844,Pre-Puff,386,81,0,19.36,41.96,198989,31390,N/A,N/A,N/A
2871,13-08-2025,13:07:26:919845,Pre-Puff,386,80,0,19.37,42.03,199338,31391,N/A,N/A,N/A
2872,13-08-2025,13:07:28:558845,Pre-Puff,386,82,0,19.36,42.09,197721,31391,N/A,N/A,N/A
2873,13-08-2025,13:07:29:991845,Pre-Puff,386,82,0,19.37,42.1,198180,31394,N/A,N/A,N/A
2874,13-08-2025,13:07:31:425845,Pre-Puff,386,80,0,19.37,42.1,198757,31391,N/A,N/A,N/A
2875,13-08-2025,13:07:32:858845,Pre-Puff,386,80,0,19.38,42.09,199454,31387,N/A,N/A,N/A
2876,13-08-2025,13:07:34:523845,Pre-Puff,386,81,0,19.38,42.07,197950,31384,N/A,N/A,N/A
2877,13-08-2025,13:07:36:138845,Pre-Puff,386,79,0,19.38,42.04,196809,31379,N/A,N/A,N/A
2878,13-08-2025,13:07:37:799844,Pre-Puff,386,81,0,19.37,42.02,196131,31376,N/A,N/A,N/A
2879,13-08-2025,13:07:39:208845,Pre-Puff,386,83,0,19.38,42.01,197264,31378,N/A,N/A,N/A
2880,13-08-2025,13:07:40:663845,Pre-Puff,386,80,0,19.39,42,197721,31378,N/A,N/A,N/A
2881,13-08-2025,13:07:42:098845,Pre-Puff,386,81,0,19.4,41.98,198411,31372,N/A,N/A,N/A
2882,13-08-2025,13:07:43:536845,Pre-Puff,386,83,0,19.41,42.01,198642,31368,N/A,N/A,N/A
2883,13-08-2025,13:07:44:959845,Pre-Puff,386,81,0,19.42,42.11,197836,31360,N/A,N/A,N/A
2884,13-08-2025,13:07:46:399845,Pre-Puff,386,80,0,19.43,42.37,196696,31351,N/A,N/A,N/A
2885,13-08-2025,13:07:47:888845,Pre-Puff,386,80,0,19.44,42.72,195457,31341,N/A,N/A,N/A
2886,13-08-2025,13:07:49:244845,Pre-Puff,386,83,0,19.46,43.07,196356,31337,N/A,N/A,N/A
2887,13-08-2025,13:07:50:882844,Pre-Puff,386,82,0,19.46,43.49,194123,31333,N/A,N/A,N/A
2888,13-08-2025,13:07:52:316845,Pre-Puff,386,80,0,19.47,43.8,194233,31335,N/A,N/A,N/A
2889,13-08-2025,13:07:54:166845,Pre-Puff,386,78,0,19.47,44.05,191724,31338,N/A,N/A,N/A
2890,13-08-2025,13:07:55:606844,Pre-Puff,386,80,0,19.48,44.15,192698,31337,N/A,N/A,N/A
2891,13-08-2025,13:07:57:027845,Pre-Puff,386,81,0,19.49,44.22,193682,31333,N/A,N/A,N/A
2892,13-08-2025,13:07:58:475845,Pre-Puff,386,80,0,19.51,44.27,194565,31334,N/A,N/A,N/A
2893,13-08-2025,13:08:01:635844,Pre-Puff,386,81,0,19.49,44.38,177901,31338,N/A,N/A,N/A
2894,13-08-2025,13:08:03:186845,Pre-Puff,386,80,0,19.49,44.43,180345,31336,N/A,N/A,N/A
2895,13-08-2025,13:08:04:604844,Pre-Puff,386,81,0,19.51,44.47,183644,31337,N/A,N/A,N/A
2896,13-08-2025,13:08:07:700844,Pre-Puff,386,83,0,19.49,44.69,172506,31326,N/A,N/A,N/A
2897,13-08-2025,13:08:09:133845,Pre-Puff,386,80,0,19.5,44.89,176795,31321,N/A,N/A,N/A
2898,13-08-2025,13:08:10:565845,Pre-Puff,386,81,0,19.52,45.06,179775,31317,N/A,N/A,N/A
2899,13-08-2025,13:08:12:000844,Pre-Puff,386,80,0,19.53,45.21,182857,31313,N/A,N/A,N/A
2900,13-08-2025,13:08:13:413845,Pre-Puff,386,81,0,19.54,45.38,184040,31310,N/A,N/A,N/A
2901,13-08-2025,13:08:14:845845,Pre-Puff,386,81,0,19.55,45.55,185037,31308,N/A,N/A,N/A
2902,13-08-2025,13:08:16:279845,Pre-Puff,386,80,0,19.57,45.71,187271,31305,N/A,N/A,N/A
2903,13-08-2025,13:08:17:714845,Pre-Puff,386,83,0,19.57,45.87,186861,31299,N/A,N/A,N/A
2904,13-08-2025,13:08:19:172844,Pre-Puff,386,79,0,19.58,46.05,186656,31298,N/A,N/A,N/A
2905,13-08-2025,13:08:20:580844,Pre-Puff,386,82,0,19.58,46.18,192589,31295,N/A,N/A,N/A
2906,13-08-2025,13:08:22:014845,Pre-Puff,386,83,0,19.59,46.33,192156,31297,N/A,N/A,N/A
2907,13-08-2025,13:08:23:448845,Pre-Puff,386,80,0,19.59,46.45,192372,31294,N/A,N/A,N/A
2908,13-08-2025,13:08:24:883845,Pre-Puff,386,81,0,19.6,46.54,192589,31294,N/A,N/A,N/A
2909,13-08-2025,13:08:26:325845,Pre-Puff,386,80,0,19.6,46.62,193682,31290,N/A,N/A,N/A
2910,13-08-2025,13:08:27:764844,Pre-Puff,386,80,0,19.61,46.71,192481,31291,N/A,N/A,N/A
2911,13-08-2025,13:08:29:206845,Pre-Puff,386,81,0,19.61,46.85,192481,31285,N/A,N/A,N/A
2912,13-08-2025,13:08:30:616845,Pre-Puff,386,82,0,19.62,46.94,192372,31284,N/A,N/A,N/A
2913,13-08-2025,13:08:32:050845,Pre-Puff,386,81,0,19.62,47.03,193025,31281,N/A,N/A,N/A
2914,13-08-2025,13:08:33:487844,Pre-Puff,386,81,0,19.63,47.13,193025,31281,N/A,N/A,N/A
2915,13-08-2025,13:08:34:939845,Pre-Puff,386,82,0,19.63,47.23,192698,31278,N/A,N/A,N/A
2916,13-08-2025,13:08:36:357845,Pre-Puff,386,81,0,19.64,47.32,193134,31273,N/A,N/A,N/A
2917,13-08-2025,13:08:37:795845,Pre-Puff,386,80,0,19.65,47.39,192156,31267,N/A,N/A,N/A
2918,13-08-2025,13:08:39:235845,Pre-Puff,386,80,0,19.66,47.46,191940,31270,N/A,N/A,N/A
2919,13-08-2025,13:08:40:675845,Pre-Puff,386,80,0,19.67,47.52,193134,31265,N/A,N/A,N/A
2920,13-08-2025,13:08:42:117844,Pre-Puff,386,80,0,19.68,47.58,193244,31258,N/A,N/A,N/A
2921,13-08-2025,13:08:43:520844,Pre-Puff,386,81,0,19.69,47.65,193572,31254,N/A,N/A,N/A
2922,13-08-2025,13:08:44:953845,Pre-Puff,386,83,0,19.69,47.7,192698,31253,N/A,N/A,N/A
2923,13-08-2025,13:08:46:387845,Pre-Puff,386,80,0,19.7,47.75,192916,31251,N/A,N/A,N/A
2924,13-08-2025,13:08:47:824845,Pre-Puff,386,80,0,19.71,47.85,191616,31252,N/A,N/A,N/A
2925,13-08-2025,13:08:49:254844,Pre-Puff,386,80,0,19.72,47.97,193244,31249,N/A,N/A,N/A
2926,13-08-2025,13:08:50:690965,Pre-Puff,386,78,0,19.72,48.03,192156,31251,N/A,N/A,N/A
2927,13-08-2025,13:08:52:126845,Pre-Puff,386,81,0,19.73,48.09,192589,31248,N/A,N/A,N/A
2928,13-08-2025,13:08:53:558845,Pre-Puff,386,82,0,19.74,48.12,192048,31244,N/A,N/A,N/A
2929,13-08-2025,13:08:54:989845,Pre-Puff,386,80,0,19.74,48.13,192698,31244,N/A,N/A,N/A
2930,13-08-2025,13:08:56:424845,Pre-Puff,386,80,0,19.75,48.15,191616,31244,N/A,N/A,N/A
2931,13-08-2025,13:08:57:878844,Pre-Puff,386,82,0,19.76,48.18,192481,31246,N/A,N/A,N/A
2932,13-08-2025,13:09:00:726845,Pre-Puff,386,80,0,19.74,48.29,176430,31244,N/A,N/A,N/A
2933,13-08-2025,13:09:02:381844,Pre-Puff,386,82,0,19.74,48.37,177716,31243,N/A,N/A,N/A
2934,13-08-2025,13:09:03:819844,Pre-Puff,386,80,0,19.75,48.39,181110,31246,N/A,N/A,N/A
2935,13-08-2025,13:09:06:077845,Pre-Puff,386,81,0,19.74,48.43,175703,31242,N/A,N/A,N/A
2936,13-08-2025,13:09:11:784844,Pre-Puff,386,80,0,19.72,48.83,154124,31241,N/A,N/A,N/A
2937,13-08-2025,13:09:13:229844,Pre-Puff,386,81,0,19.73,48.95,160804,31238,N/A,N/A,N/A
2938,13-08-2025,13:09:14:654845,Pre-Puff,386,80,0,19.74,49,166612,31235,N/A,N/A,N/A
2939,13-08-2025,13:09:16:085844,Pre-Puff,386,81,0,19.76,49.09,171294,31230,N/A,N/A,N/A
2940,13-08-2025,13:09:17:522845,Pre-Puff,386,82,0,19.77,49.17,174446,31230,N/A,N/A,N/A
2941,13-08-2025,13:09:18:952844,Pre-Puff,386,83,0,19.78,49.27,177162,31231,N/A,N/A,N/A
2942,13-08-2025,13:09:20:387844,Pre-Puff,386,80,0,19.79,49.34,178459,31232,N/A,N/A,N/A
2943,13-08-2025,13:09:21:819845,Pre-Puff,386,82,0,19.8,49.4,179775,31228,N/A,N/A,N/A
2944,13-08-2025,13:09:23:458844,Pre-Puff,386,80,0,19.8,49.48,179586,31226,N/A,N/A,N/A
2945,13-08-2025,13:09:24:892845,Pre-Puff,386,81,0,19.81,49.53,181495,31224,N/A,N/A,N/A
2946,13-08-2025,13:09:26:327845,Pre-Puff,386,81,0,19.82,49.56,181689,31228,N/A,N/A,N/A
2947,13-08-2025,13:09:27:782845,Pre-Puff,386,81,0,19.82,49.59,182271,31227,N/A,N/A,N/A
2948,13-08-2025,13:09:29:263845,Pre-Puff,386,84,0,19.82,49.59,182466,31221,N/A,N/A,N/A
2949,13-08-2025,13:09:30:627844,Pre-Puff,386,81,0,19.83,49.59,184238,31221,N/A,N/A,N/A
2950,13-08-2025,13:09:32:098845,Pre-Puff,386,80,0,19.83,49.58,184637,31218,N/A,N/A,N/A
2951,13-08-2025,13:09:33:502845,Pre-Puff,386,82,0,19.84,49.59,183842,31216,N/A,N/A,N/A
2952,13-08-2025,13:09:35:133845,Pre-Puff,386,83,0,19.84,49.61,182661,31216,N/A,N/A,N/A
2953,13-08-2025,13:09:36:771845,Pre-Puff,386,82,0,19.84,49.64,180918,31214,N/A,N/A,N/A
2954,13-08-2025,13:09:38:229845,Pre-Puff,386,81,0,19.84,49.7,182661,31216,N/A,N/A,N/A
2955,13-08-2025,13:09:39:844845,Pre-Puff,386,81,0,19.84,49.75,181110,31212,N/A,N/A,N/A
2956,13-08-2025,13:09:41:277845,Pre-Puff,386,83,0,19.85,49.83,182661,31212,N/A,N/A,N/A
2957,13-08-2025,13:09:42:712845,Pre-Puff,386,82,0,19.85,49.89,182857,31208,N/A,N/A,N/A
2958,13-08-2025,13:09:44:167845,Pre-Puff,386,81,0,19.86,49.99,183446,31207,N/A,N/A,N/A
