SNO,Date,Time,ADC,Temp_C,Humidity_pct,VOC,Phase,Voltage_V
107,23-09-2025,13:20:41:433836,31744,22.69,48.89,p-cresol,Pre_Puff,2.67
108,23-09-2025,13:20:42:459836,31745,22.71,48.79,p-cresol,Pre_Puff,2.68
109,23-09-2025,13:20:43:482836,31742,22.74,48.74,p-cresol,Pre_Puff,2.68
110,23-09-2025,13:20:44:525836,31737,22.77,48.74,p-cresol,Pre_Puff,2.68
111,23-09-2025,13:20:45:531836,31737,22.80,48.80,p-cresol,Pre_Puff,2.69
112,23-09-2025,13:20:46:555836,31734,22.82,48.79,p-cresol,Pre_Puff,2.69
113,23-09-2025,13:20:48:602836,31734,22.83,48.71,p-cresol,Pre_Puff,2.68
114,23-09-2025,13:20:49:626836,31732,22.85,48.60,p-cresol,Pre_Puff,2.69
115,23-09-2025,13:20:50:653876,31729,22.87,48.50,p-cresol,Pre_Puff,2.66
116,23-09-2025,13:20:51:721836,31728,22.85,48.49,p-cresol,Pre_Puff,2.69
117,23-09-2025,13:20:53:520836,31729,22.86,48.41,p-cresol,Pre_Puff,2.69
118,23-09-2025,13:20:54:544836,31732,22.88,48.24,p-cresol,Pre_Puff,2.70
119,23-09-2025,13:20:56:183836,31730,22.89,48.11,p-cresol,Pre_Puff,2.66
120,23-09-2025,13:20:57:413851,31730,22.92,48.03,p-cresol,Pre_Puff,2.68
121,23-09-2025,13:20:58:435836,31732,22.95,47.96,p-cresol,Pre_Puff,2.66
122,23-09-2025,13:20:59:458836,31732,22.93,49.17,p-cresol,Pre_Puff,2.68
123,23-09-2025,13:21:00:484836,31729,22.95,49.09,p-cresol,Pre_Puff,2.68
124,23-09-2025,13:21:01:506836,31728,22.95,48.90,p-cresol,Pre_Puff,2.69
125,23-09-2025,13:21:02:530836,31723,22.98,48.76,p-cresol,Pre_Puff,2.69
126,23-09-2025,13:21:03:552836,31721,23.01,48.58,p-cresol,Pre_Puff,2.69
127,23-09-2025,13:21:04:580836,31725,23.05,48.44,p-cresol,Pre_Puff,2.68
128,23-09-2025,13:21:05:602872,31728,23.08,48.29,p-cresol,Pre_Puff,2.69
129,23-09-2025,13:21:06:627836,31728,23.10,48.10,p-cresol,Pre_Puff,2.69
130,23-09-2025,13:21:07:868836,31732,23.11,47.90,p-cresol,Pre_Puff,2.68
131,23-09-2025,13:21:08:891836,31730,23.14,47.76,p-cresol,Pre_Puff,2.66
132,23-09-2025,13:21:09:911836,31732,23.15,47.58,p-cresol,Pre_Puff,2.64
133,23-09-2025,13:21:10:925836,31730,23.17,47.47,p-cresol,Pre_Puff,2.66
134,23-09-2025,13:21:11:951836,31733,23.15,47.33,p-cresol,Pre_Puff,2.68
135,23-09-2025,13:21:12:976836,31730,23.17,47.33,p-cresol,Pre_Puff,2.69
136,23-09-2025,13:21:14:001836,31734,23.15,47.28,p-cresol,Pre_Puff,2.68
137,23-09-2025,13:21:15:024836,31734,23.17,47.29,p-cresol,Pre_Puff,2.68
138,23-09-2025,13:21:16:047836,31732,23.17,47.28,p-cresol,Pre_Puff,2.69
139,23-09-2025,13:21:17:274836,31733,23.15,47.64,p-cresol,Pre_Puff,2.69
140,23-09-2025,13:21:19:121836,31729,23.14,48.14,p-cresol,Pre_Puff,2.68
141,23-09-2025,13:21:20:351836,31723,23.17,48.02,p-cresol,Pre_Puff,2.68
142,23-09-2025,13:21:24:240836,31722,23.17,47.97,p-cresol,Pre_Puff,2.68
143,23-09-2025,13:21:25:261836,31717,23.18,48.37,p-cresol,Pre_Puff,2.68
144,23-09-2025,13:21:26:287836,31716,23.22,48.37,p-cresol,Pre_Puff,2.69
145,23-09-2025,13:21:27:519836,31717,23.25,48.35,p-cresol,Pre_Puff,2.67
146,23-09-2025,13:21:28:745836,31712,23.29,48.37,p-cresol,Pre_Puff,2.68
147,23-09-2025,13:21:29:768836,31714,23.34,48.45,p-cresol,Pre_Puff,2.68
148,23-09-2025,13:21:30:799836,31712,23.37,48.53,p-cresol,Pre_Puff,2.68
149,23-09-2025,13:21:31:819836,31709,23.37,48.68,p-cresol,Pre_Puff,2.68
150,23-09-2025,13:21:34:896836,31712,23.39,48.67,p-cresol,Pre_Puff,2.67
151,23-09-2025,13:21:36:532836,31714,23.43,48.54,p-cresol,Pre_Puff,2.69
152,23-09-2025,13:21:39:598836,31713,23.43,48.25,p-cresol,Pre_Puff,2.70
153,23-09-2025,13:21:40:623836,31716,23.44,48.02,p-cresol,Pre_Puff,2.69
154,23-09-2025,13:21:42:276836,31716,23.46,47.86,p-cresol,Pre_Puff,2.68
155,23-09-2025,13:21:43:288836,31716,23.49,47.71,p-cresol,Pre_Puff,2.69
156,23-09-2025,13:21:44:516836,31713,23.46,47.79,p-cresol,Pre_Puff,2.68
157,23-09-2025,13:21:45:544836,31717,23.46,47.99,p-cresol,Pre_Puff,2.68
158,23-09-2025,13:21:46:977836,31714,23.48,48.17,p-cresol,Pre_Puff,2.68
159,23-09-2025,13:21:48:000836,31718,23.50,48.21,p-cresol,Pre_Puff,2.68
160,23-09-2025,13:21:49:021836,31723,23.52,48.22,p-cresol,Pre_Puff,2.68
161,23-09-2025,13:21:50:249836,31721,23.54,48.23,p-cresol,Pre_Puff,2.69
162,23-09-2025,13:21:51:273836,31719,23.56,48.14,p-cresol,Pre_Puff,2.67
163,23-09-2025,13:21:52:293836,31717,23.56,47.96,p-cresol,Pre_Puff,2.69
164,23-09-2025,13:21:53:325836,31717,23.56,47.84,p-cresol,Pre_Puff,2.69
165,23-09-2025,13:21:54:347836,31721,23.58,47.74,p-cresol,Pre_Puff,2.69
166,23-09-2025,13:21:55:575836,31716,23.58,47.65,p-cresol,Pre_Puff,2.69
167,23-09-2025,13:21:56:598836,31717,23.60,47.58,p-cresol,Pre_Puff,2.68
168,23-09-2025,13:21:57:828836,31716,23.63,47.51,p-cresol,Pre_Puff,2.68
169,23-09-2025,13:21:58:852836,31718,23.62,47.50,p-cresol,Pre_Puff,2.68
170,23-09-2025,13:22:00:492836,31721,23.64,47.50,p-cresol,Pre_Puff,2.69
171,23-09-2025,13:22:01:719836,31716,23.66,47.41,p-cresol,Pre_Puff,2.68
172,23-09-2025,13:22:02:947836,31716,23.67,47.33,p-cresol,Pre_Puff,2.67
173,23-09-2025,13:22:04:174836,31719,23.68,47.22,p-cresol,Pre_Puff,2.68
174,23-09-2025,13:22:05:616836,31714,23.69,47.12,p-cresol,Pre_Puff,2.69
175,23-09-2025,13:22:06:637836,31712,23.69,47.01,p-cresol,Pre_Puff,2.68
176,23-09-2025,13:22:08:682836,31714,23.70,46.92,p-cresol,Pre_Puff,2.67
177,23-09-2025,13:22:10:122836,31721,23.71,46.82,p-cresol,Pre_Puff,2.68
178,23-09-2025,13:22:15:870918,31717,23.72,46.71,p-cresol,Pre_Puff,2.70
179,23-09-2025,13:22:17:287836,31711,23.71,46.62,p-cresol,Pre_Puff,2.70
180,23-09-2025,13:22:20:358836,31712,23.72,46.56,p-cresol,Pre_Puff,2.69
181,23-09-2025,13:22:23:848836,31711,23.73,46.47,p-cresol,Pre_Puff,2.69
182,23-09-2025,13:22:25:688851,31711,23.71,46.40,p-cresol,Pre_Puff,2.67
183,23-09-2025,13:22:26:916836,31701,23.72,46.38,p-cresol,Pre_Puff,2.67
184,23-09-2025,13:22:29:372896,31697,23.74,46.38,p-cresol,Pre_Puff,2.68
185,23-09-2025,13:22:30:807836,31696,23.76,46.31,p-cresol,Pre_Puff,2.68
186,23-09-2025,13:22:31:834836,31697,23.77,46.27,p-cresol,Pre_Puff,2.69
187,23-09-2025,13:22:33:674843,31697,23.79,46.25,p-cresol,Pre_Puff,2.67
188,23-09-2025,13:22:34:701836,31697,23.80,46.24,p-cresol,Pre_Puff,2.67
189,23-09-2025,13:22:35:718836,31701,23.80,46.27,p-cresol,Pre_Puff,2.67
190,23-09-2025,13:22:36:759836,31703,23.81,46.32,p-cresol,Pre_Puff,2.69
191,23-09-2025,13:22:38:189836,31701,23.82,46.37,p-cresol,Pre_Puff,2.67
192,23-09-2025,13:22:40:430836,31701,23.83,46.39,p-cresol,Pre_Puff,2.68
193,23-09-2025,13:22:43:705836,31701,23.84,46.33,p-cresol,Pre_Puff,2.67
194,23-09-2025,13:22:45:138836,31693,23.85,46.26,p-cresol,Pre_Puff,2.70
195,23-09-2025,13:22:46:571836,31692,23.87,46.18,p-cresol,Pre_Puff,2.67
196,23-09-2025,13:22:47:800836,31694,23.87,46.09,p-cresol,Pre_Puff,2.68
197,23-09-2025,13:22:48:823836,31692,23.86,46.00,p-cresol,Pre_Puff,2.69
198,23-09-2025,13:22:49:845836,31691,23.83,46.01,p-cresol,Pre_Puff,2.69
199,23-09-2025,13:22:51:280836,31693,23.81,46.03,p-cresol,Pre_Puff,2.68
200,23-09-2025,13:22:52:508836,31693,23.81,46.02,p-cresol,Pre_Puff,2.68
201,23-09-2025,13:22:53:533836,31692,23.84,45.98,p-cresol,Pre_Puff,2.68
202,23-09-2025,13:22:54:556836,31693,23.84,45.90,p-cresol,Pre_Puff,2.69
203,23-09-2025,13:22:55:581836,31696,23.85,45.84,p-cresol,Pre_Puff,2.68
204,23-09-2025,13:22:56:809836,31696,23.84,45.86,p-cresol,Pre_Puff,2.69
205,23-09-2025,13:22:57:833836,31691,23.85,45.86,p-cresol,Pre_Puff,2.69
206,23-09-2025,13:22:58:857836,31693,23.87,45.83,p-cresol,Pre_Puff,2.69
207,23-09-2025,13:22:59:882836,31688,23.89,45.78,p-cresol,Pre_Puff,2.68
208,23-09-2025,13:23:01:519836,31687,23.91,45.75,p-cresol,Pre_Puff,2.68
209,23-09-2025,13:23:02:544836,31682,23.93,45.73,p-cresol,Pre_Puff,2.69
210,23-09-2025,13:23:03:774836,31682,23.94,45.73,p-cresol,Pre_Puff,2.68
211,23-09-2025,13:23:05:001836,31685,23.95,45.77,p-cresol,Pre_Puff,2.67
212,23-09-2025,13:23:06:032836,31688,23.97,45.80,p-cresol,Pre_Puff,2.68
213,23-09-2025,13:23:07:264836,31691,23.99,45.84,p-cresol,Pre_Puff,2.68
214,23-09-2025,13:23:08:290836,31692,23.98,45.91,p-cresol,Pre_Puff,2.68
215,23-09-2025,13:23:10:124836,31693,24.00,46.02,p-cresol,Pre_Puff,2.68
216,23-09-2025,13:23:11:147836,31693,23.98,46.25,p-cresol,Pre_Puff,2.68
217,23-09-2025,13:23:12:376836,31691,23.95,46.59,p-cresol,Pre_Puff,2.68
218,23-09-2025,13:23:13:603836,31688,23.95,46.66,p-cresol,Pre_Puff,2.68
219,23-09-2025,13:23:14:628836,31690,23.94,46.76,p-cresol,Pre_Puff,2.68
220,23-09-2025,13:23:15:652836,31685,23.93,46.82,p-cresol,Pre_Puff,2.69
221,23-09-2025,13:23:16:675836,31683,23.93,46.86,p-cresol,Pre_Puff,2.66
222,23-09-2025,13:23:17:700836,31681,23.93,46.87,p-cresol,Pre_Puff,2.68
223,23-09-2025,13:23:20:773838,31682,23.96,46.85,p-cresol,Pre_Puff,2.68
224,23-09-2025,13:23:22:615836,31686,23.99,46.82,p-cresol,Pre_Puff,2.67
225,23-09-2025,13:23:24:869836,31686,23.99,46.86,p-cresol,Pre_Puff,2.67
226,23-09-2025,13:23:26:096836,31686,24.01,46.89,p-cresol,Pre_Puff,2.68
227,23-09-2025,13:23:27:531836,31688,24.01,47.02,p-cresol,Pre_Puff,2.68
228,23-09-2025,13:23:28:555836,31686,24.03,47.13,p-cresol,Pre_Puff,2.69
229,23-09-2025,13:23:29:784836,31687,24.05,47.22,p-cresol,Pre_Puff,2.69
230,23-09-2025,13:23:30:807836,31690,24.07,47.27,p-cresol,Pre_Puff,2.69
231,23-09-2025,13:23:31:831836,31685,24.09,47.31,p-cresol,Pre_Puff,2.68
232,23-09-2025,13:23:32:855836,31687,24.10,47.34,p-cresol,Pre_Puff,2.69
233,23-09-2025,13:23:33:879836,31690,24.12,47.35,p-cresol,Pre_Puff,2.69
234,23-09-2025,13:23:34:904836,31688,24.10,47.41,p-cresol,Pre_Puff,2.69
235,23-09-2025,13:23:35:927836,31686,24.12,47.42,p-cresol,Pre_Puff,2.68
236,23-09-2025,13:23:36:950836,31688,24.13,47.43,p-cresol,Pre_Puff,2.67
237,23-09-2025,13:23:37:975836,31686,24.14,47.51,p-cresol,Pre_Puff,2.69
238,23-09-2025,13:23:40:023836,31688,24.14,47.66,p-cresol,Pre_Puff,2.69
239,23-09-2025,13:23:41:252836,31692,24.16,47.75,p-cresol,Pre_Puff,2.68
240,23-09-2025,13:23:42:277836,31687,24.18,47.81,p-cresol,Pre_Puff,2.68
241,23-09-2025,13:23:43:301836,31686,24.20,47.79,p-cresol,Pre_Puff,2.70
242,23-09-2025,13:23:44:324836,31688,24.20,47.65,p-cresol,Pre_Puff,2.69
243,23-09-2025,13:23:45:558836,31690,24.22,47.51,p-cresol,Pre_Puff,2.68
244,23-09-2025,13:23:47:397836,31687,24.23,47.36,p-cresol,Pre_Puff,2.68
245,23-09-2025,13:23:49:238836,31687,24.24,47.23,p-cresol,Pre_Puff,2.68
246,23-09-2025,13:23:50:469836,31685,24.26,47.12,p-cresol,Pre_Puff,2.67
247,23-09-2025,13:23:51:493836,31682,24.27,47.01,p-cresol,Pre_Puff,2.67
248,23-09-2025,13:23:52:722836,31683,24.29,46.91,p-cresol,Pre_Puff,2.66
249,23-09-2025,13:23:53:755836,31680,24.28,46.80,p-cresol,Pre_Puff,2.68
250,23-09-2025,13:23:54:974836,31681,24.24,47.04,p-cresol,Pre_Puff,2.69
251,23-09-2025,13:23:56:203836,31678,24.24,47.09,p-cresol,Pre_Puff,2.67
252,23-09-2025,13:23:57:227836,31675,24.22,47.13,p-cresol,Pre_Puff,2.69
253,23-09-2025,13:23:58:252836,31676,24.22,47.21,p-cresol,Pre_Puff,2.67
254,23-09-2025,13:23:59:276836,31677,24.24,47.28,p-cresol,Pre_Puff,2.68
255,23-09-2025,13:24:00:299836,31678,24.22,47.63,p-cresol,Pre_Puff,2.69
256,23-09-2025,13:24:03:371836,31676,24.23,47.72,p-cresol,Pre_Puff,2.69
257,23-09-2025,13:24:04:394836,31673,24.24,47.70,p-cresol,Pre_Puff,2.68
258,23-09-2025,13:24:05:419836,31673,24.24,47.59,p-cresol,Pre_Puff,2.66
259,23-09-2025,13:24:06:649836,31672,24.25,47.52,p-cresol,Pre_Puff,2.68
260,23-09-2025,13:24:08:492836,31676,24.27,47.42,p-cresol,Pre_Puff,2.69
261,23-09-2025,13:24:09:516836,31672,24.30,47.33,p-cresol,Pre_Puff,2.67
262,23-09-2025,13:24:10:750836,31676,24.31,47.22,p-cresol,Pre_Puff,2.67
263,23-09-2025,13:24:11:769836,31673,24.30,47.12,p-cresol,Pre_Puff,2.68
264,23-09-2025,13:24:12:792836,31675,24.31,47.07,p-cresol,Pre_Puff,2.68
265,23-09-2025,13:24:14:227836,31677,24.28,47.25,p-cresol,Pre_Puff,2.68
266,23-09-2025,13:24:15:457836,31680,24.29,47.28,p-cresol,Pre_Puff,2.67
267,23-09-2025,13:24:16:682836,31682,24.32,47.27,p-cresol,Pre_Puff,2.67
268,23-09-2025,13:24:17:718836,31680,24.34,47.20,p-cresol,Pre_Puff,2.66
269,23-09-2025,13:24:18:940836,31676,24.34,47.16,p-cresol,Pre_Puff,2.66
270,23-09-2025,13:24:19:960836,31675,24.36,47.15,p-cresol,Pre_Puff,2.66
271,23-09-2025,13:24:21:194836,31667,24.37,47.09,p-cresol,Pre_Puff,2.66
272,23-09-2025,13:24:22:627836,31665,24.37,47.17,p-cresol,Pre_Puff,2.68
273,23-09-2025,13:24:23:646836,31670,24.40,47.23,p-cresol,Pre_Puff,2.68
274,23-09-2025,13:24:24:679836,31670,24.38,47.44,p-cresol,Pre_Puff,2.68
275,23-09-2025,13:24:26:107836,31667,24.40,47.84,p-cresol,Pre_Puff,2.68
276,23-09-2025,13:24:27:336836,31667,24.41,48.33,p-cresol,Pre_Puff,2.70
277,23-09-2025,13:24:29:181836,31667,24.45,48.59,p-cresol,Pre_Puff,2.66
278,23-09-2025,13:24:31:019836,31665,24.46,48.79,p-cresol,Pre_Puff,2.68
279,23-09-2025,13:24:32:044836,31665,24.48,48.91,p-cresol,Pre_Puff,2.68
280,23-09-2025,13:24:33:068836,31661,24.49,48.99,p-cresol,Pre_Puff,2.68
281,23-09-2025,13:24:34:091836,31666,24.49,49.09,p-cresol,Pre_Puff,2.68
282,23-09-2025,13:24:35:116836,31665,24.51,49.17,p-cresol,Pre_Puff,2.68
283,23-09-2025,13:24:36:140836,31666,24.50,49.10,p-cresol,Pre_Puff,2.68
284,23-09-2025,13:24:37:784836,31667,24.49,48.88,p-cresol,Pre_Puff,2.69
285,23-09-2025,13:24:38:802836,31665,24.50,48.80,p-cresol,Pre_Puff,2.69
286,23-09-2025,13:24:39:832836,31661,24.51,48.66,p-cresol,Pre_Puff,2.69
287,23-09-2025,13:24:41:263836,31660,24.51,48.60,p-cresol,Pre_Puff,2.68
288,23-09-2025,13:24:42:490836,31660,24.53,48.63,p-cresol,Pre_Puff,2.68
289,23-09-2025,13:24:44:333836,31656,24.55,48.61,p-cresol,Pre_Puff,2.68
290,23-09-2025,13:24:46:176836,31657,24.58,48.55,p-cresol,Pre_Puff,2.66
291,23-09-2025,13:24:47:405836,31660,24.60,48.49,p-cresol,Pre_Puff,2.68
292,23-09-2025,13:24:48:838836,31657,24.59,48.41,p-cresol,Pre_Puff,2.68
293,23-09-2025,13:24:55:187836,31652,24.58,48.42,p-cresol,Pre_Puff,2.66
294,23-09-2025,13:24:58:670836,31647,24.56,48.43,p-cresol,Pre_Puff,2.68
295,23-09-2025,13:25:03:379836,31645,24.54,48.58,p-cresol,Pre_Puff,2.69
