SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
105,28-07-2025,21:50:58:379528,Puff,322,123,4095,30.38,61.89,90.75,30853,YES,N/A,0
106,28-07-2025,21:51:00:185525,Puff,322,118,4095,30.38,61.86,90.75,30846,YES,N/A,0
107,28-07-2025,21:51:01:991528,Puff,322,80,4095,30.38,61.86,90.84,30842,YES,N/A,0
108,28-07-2025,21:51:03:797525,Puff,322,80,4095,30.37,61.83,90.65,30845,YES,N/A,0
109,28-07-2025,21:51:05:603528,Puff,322,116,4095,30.37,61.85,90.56,30846,YES,N/A,0
110,28-07-2025,21:51:07:409525,Puff,322,117,4095,30.37,61.87,90.36,30850,YES,N/A,0
111,28-07-2025,21:51:09:215528,Puff,322,120,4095,30.37,61.88,90.75,30850,YES,N/A,0
112,28-07-2025,21:51:11:021524,Puff,322,80,4095,30.36,61.9,91.14,30850,YES,N/A,0
113,28-07-2025,21:51:12:827528,Puff,322,116,4095,30.35,61.9,91.04,30853,YES,N/A,0
114,28-07-2025,21:51:14:633524,Puff,322,117,4095,30.34,61.91,90.94,30853,YES,N/A,0
115,28-07-2025,21:51:16:439528,Puff,322,117,4095,30.33,61.91,90.94,30853,YES,N/A,0
116,28-07-2025,21:51:18:245524,Puff,322,117,4095,30.33,61.96,90.65,30850,YES,N/A,0
117,28-07-2025,21:51:20:051528,Puff,322,78,4095,30.33,61.97,90.94,30849,YES,N/A,0
118,28-07-2025,21:51:21:857525,Puff,322,80,4095,30.32,61.99,90.75,30855,YES,N/A,0
119,28-07-2025,21:51:23:663528,Puff,322,122,4095,30.32,61.99,91.43,30850,YES,N/A,0
120,28-07-2025,21:51:25:469525,Puff,322,119,4095,30.31,61.97,90.94,30855,YES,N/A,0
121,28-07-2025,21:51:27:275528,Puff,322,118,4095,30.3,61.95,91.53,30857,YES,N/A,0
122,28-07-2025,21:51:29:081524,Puff,322,117,4095,30.29,61.96,91.72,30857,YES,N/A,0
123,28-07-2025,21:51:30:887528,Puff,322,118,4095,30.29,61.98,91.62,30861,YES,N/A,0
124,28-07-2025,21:51:32:693525,Puff,322,125,4095,30.29,62,91.14,30855,YES,N/A,0
125,28-07-2025,21:51:34:499528,Puff,322,113,4095,30.29,61.98,91.72,30854,YES,N/A,0
126,28-07-2025,21:51:36:305524,Puff,322,122,4095,30.28,62.01,91.14,30854,YES,N/A,0
127,28-07-2025,21:51:38:111528,Puff,322,118,4095,30.27,62.01,91.92,30860,YES,N/A,0
128,28-07-2025,21:51:39:917524,Puff,322,119,4095,30.26,62.01,91.72,30862,YES,N/A,0
129,28-07-2025,21:51:41:723528,Puff,322,79,4095,30.25,62.05,91.72,30863,YES,N/A,0
130,28-07-2025,21:51:43:529524,Puff,322,80,4095,30.24,62.08,92.02,30856,YES,N/A,0
131,28-07-2025,21:51:45:335528,Puff,322,123,4095,30.23,62.14,92.02,30857,YES,N/A,0
132,28-07-2025,21:51:47:141525,Puff,322,117,4095,30.22,62.18,91.82,30859,YES,N/A,0
133,28-07-2025,21:51:48:947528,Puff,322,118,4095,30.22,62.19,91.72,30854,YES,N/A,0
134,28-07-2025,21:51:50:753524,Puff,322,129,4095,30.22,62.22,91.82,30860,YES,N/A,0
135,28-07-2025,21:51:52:558528,Puff,322,81,4095,30.22,62.24,91.72,30856,YES,N/A,0
136,28-07-2025,21:51:54:364525,Puff,322,118,4095,30.22,62.25,92.02,30855,YES,N/A,0
137,28-07-2025,21:51:56:170528,Puff,322,117,4095,30.22,62.24,91.72,30858,YES,N/A,0
138,28-07-2025,21:51:57:976524,Puff,322,118,4095,30.21,62.2,91.92,30857,YES,N/A,0
139,28-07-2025,21:52:01:182527,Puff,322,120,4095,30.12,62.36,88.49,30861,YES,N/A,0
140,28-07-2025,21:52:02:988525,Puff,322,118,4095,30.15,62.35,90.08,30860,YES,N/A,0
141,28-07-2025,21:52:04:794528,Puff,322,71,4095,30.16,62.31,90.65,30860,YES,N/A,0
142,28-07-2025,21:52:06:600525,Puff,322,79,4095,30.17,62.28,91.14,30863,YES,N/A,0
143,28-07-2025,21:52:08:406528,Puff,322,96,4095,30.17,62.32,91.23,30866,YES,N/A,0
144,28-07-2025,21:52:10:212524,Puff,322,146,4095,30.17,62.33,91.43,30857,YES,N/A,0
145,28-07-2025,21:52:12:018528,Puff,322,119,4095,30.17,62.33,91.43,30856,YES,N/A,0
146,28-07-2025,21:52:13:824525,Puff,322,55,4095,30.17,62.34,92.02,30855,YES,N/A,0
147,28-07-2025,21:52:15:631528,Puff,322,115,4095,30.18,62.32,92.02,30856,YES,N/A,0
